COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,BFICat,BFIWs
5597722,0.5571,293.1093,100.0,100.0,42.0,46.5608
5596908,0.6804,2592.3096,100.0,100.0,49.2222,43.0075
5425761,0.1269,5.8005,100.0,100.0,55.0,55.0
5596944,0.1953,1.9548,100.0,100.0,38.0,38.0
5424599,2.1294,5.0868,100.0,100.0,55.0,54.8075
5423395,1.7406,1.7406,100.0,100.0,57.0,57.0
5423259,3.4119,13.302,100.0,100.0,57.0,57.0
5425075,1.3104,6.9363,100.0,100.0,52.3084,49.9633
5596280,2.9673,188.7822,100.0,100.0,47.0,47.5653
5595786,4.6467,4.6467,100.0,100.0,38.0,38.0
5595778,1.8873,1.8873,100.0,100.0,38.0,38.0
5424171,0.1593,3.366,100.0,100.0,54.0,56.3174
5424921,1.3761,1.3761,100.0,100.0,42.0,42.0
5424795,2.2428,2.2428,100.0,100.0,54.2893,54.2893
5597634,1.9701,397.4787,100.0,100.0,40.0498,46.0771
5423109,2.7936,2.7936,100.0,100.0,46.5387,46.5387
5422595,1.755,1.755,100.0,100.0,58.0,58.0
5423221,10.5525,10.5525,100.0,100.0,57.4231,57.4231
5423061,0.5031,0.5031,100.0,100.0,56.5886,56.5886
5422135,0.8757,0.8757,100.0,100.0,60.6701,60.6701
5423423,0.0072,11.6388,100.0,100.0,59.0,57.4521
5423163,0.882,0.882,100.0,100.0,57.9918,57.9918
5421665,0.4932,1.1763,100.0,100.0,37.0,37.0
5423673,1.1817,1.1817,100.0,100.0,59.6931,59.6931
5423629,3.4686,3.4686,100.0,100.0,54.3697,54.3697
5422875,3.1113,3.1113,100.0,100.0,50.0,50.0
5423349,9.4428,9.4428,100.0,100.0,57.0,57.0
5423909,10.0008,10.0008,100.0,100.0,58.2531,58.2531
5596084,2.5749,7.6518,100.0,100.0,44.309,44.168
5423225,3.4119,3.4119,100.0,100.0,57.843,57.843
5425713,3.4623,3.4623,100.0,100.0,53.0,53.0
5425091,2.4066,2.4066,100.0,100.0,58.0,58.0
5596968,0.1548,5.4117,100.0,100.0,44.0,44.0
5425131,0.7263,0.7263,100.0,100.0,53.0,53.0
5598186,6.4017,27.5328,100.0,100.0,47.8074,47.7402
5422839,1.1916,9.6192,100.0,100.0,58.9199,55.552
5423569,3.0735,3.0735,100.0,100.0,56.7859,56.7859
5595768,5.2443,267.4323,100.0,100.0,39.0,39.7313
5597496,0.2214,474.3855,100.0,100.0,40.0,45.1279
5422863,1.4715,1.4715,100.0,100.0,50.4147,50.4147
5425263,2.5992,2.5992,100.0,100.0,59.0,59.0
5596172,10.0008,95.3181,100.0,100.0,48.0,48.8133
5424857,1.9215,1.9215,100.0,100.0,52.9831,52.9831
5597004,1.0764,7.3314,100.0,100.0,39.4783,38.8328
5422459,0.7866,0.7866,100.0,100.0,58.0,58.0
5424109,0.3627,2.5245,100.0,100.0,57.8313,59.872
5423179,1.4418,1.4418,100.0,100.0,56.3315,56.3315
5596922,0.0612,2585.5218,100.0,100.0,49.0,42.992
5596066,7.1766,273.069,100.0,100.0,39.8985,46.882
5596216,0.1368,219.7899,100.0,100.0,44.0,47.2368
5596568,8.5194,8.5194,100.0,100.0,38.0705,38.0705
5423321,1.2222,1.2222,100.0,100.0,55.0,55.0
5423323,0.3492,3.3183,100.0,100.0,51.0,51.0
5598964,0.7911,40.8771,100.0,100.0,48.0,48.1239
5423397,0.9882,0.9882,100.0,100.0,55.0,55.0
5425219,4.2714,4.2714,100.0,100.0,49.9254,49.9254
5424739,1.1088,1.1088,100.0,100.0,55.0,55.0
5422173,0.2286,15.3909,100.0,100.0,61.0,58.8384
5596052,1.0332,294.0921,100.0,100.0,39.0139,45.5648
5422573,1.8891,1.8891,100.0,100.0,58.0,58.0
5595764,0.6237,424.2789,100.0,100.0,38.0,39.275
5424239,0.2259,2.6379,100.0,100.0,60.0,60.6128
5423871,4.2462,4.2462,100.0,100.0,58.0,58.0
5423905,1.746,29.4192,100.0,100.0,60.5686,59.3156
5423901,1.08,1.08,100.0,100.0,58.3883,58.3883
5423981,4.1418,4.1418,100.0,100.0,57.8603,57.8603
5598514,0.2403,15.5556,100.0,100.0,48.0,47.6194
5424763,0.6039,12.0348,100.0,100.0,54.1744,53.4041
5423973,1.4175,1.4175,100.0,100.0,50.0356,50.0356
5597122,2.9862,1957.6755,100.0,100.0,42.0,42.6456
5424179,0.2952,25.2036,100.0,100.0,59.0,57.971
5423521,1.1322,1.1322,100.0,100.0,47.5032,47.5032
5597762,1.323,1.323,100.0,100.0,42.9061,42.9061
5423379,1.6713,1.6713,100.0,100.0,56.0285,56.0285
5597434,1.3347,494.0685,100.0,100.0,39.526,44.9219
5595730,3.8061,16.9461,100.0,100.0,38.0,37.8001
5425143,3.5451,3.5451,100.0,100.0,60.8738,60.8738
5423975,1.8261,1.8261,100.0,100.0,58.0,58.0
5423763,0.0567,2.2428,100.0,100.0,55.0,54.9996
5423837,2.5776,2.5776,100.0,100.0,47.0,47.0
5424201,0.0036,1.5201,100.0,100.0,43.0,44.2422
5424077,0.0486,9.9846,100.0,100.0,58.0,58.0
5423493,0.7731,5.9625,100.0,100.0,58.3737,57.7168
5423559,0.198,4.1301,100.0,100.0,55.0,54.5568
5425777,1.3806,4.6638,100.0,100.0,54.6695,53.9327
5597306,0.8361,778.275,100.0,100.0,39.0,44.4057
5423601,1.1358,1.1358,100.0,100.0,58.5349,58.5349
5423567,2.7513,2.7513,100.0,100.0,54.6919,54.6919
5424243,1.1538,4.1517,100.0,100.0,50.4025,50.3252
