"","pt_T_WDEQ_12_RFadj","nt_Diatas_TN_2_RFadj","BC_12.pa","WA_Salinity_USGS","pt_O_WDEQ_4","pt_H_WDEQ_34_RFadj","pt_T_WDEQ_56_RFadj"
"fifth",-7.01682412715866,-3.90598190476191,0.0316036486,1.110126878,0,-4.74607134930319,-9.01612814249715
"ninetififth",4.53583213978296,2.41272666666666,0.6260716612,2.2006666668,15.727554178,15.9078121118982,18.0052570670938
