"","nt_habit_climbcling_RFadj","nt_volt_semi_RFadj","pt_BCG_att1i234b_RFadj","x_HBI_RFadj","nt_EPT_RFadj"
"fifths",-10.4406533333333,-3.56679833333334,-7.53139652789598,-0.345718109592311,-7.88077333333333
"ninetyfifths",7.96366666666667,3.99155833333332,5.78736451432847,0.531764063792342,5.78615166666667
