TaxaID,Rank,Slash,NonTarget,BCG_sens,Habit_CBCN,Order_EPT,Volt_semi,TolVal,BCG_Attr,BCG_Attr2,FFG,FFG_Src,HABIT,HABIT_Src,LIFE_CYCLE,LIFE_CYCLE_Src,THERMAL_INDICATOR,AirBreather,PHYLUM,CLASS,ORDER,FAMILY,GENUS,KBGENSPE,NOD,AP,HM,POC,SA,SSS,Min_HM1988,Max_HM1988,Mean_HM1988,KBTOLR
ABLABESMYIA,Genus,,FALSE,,,,,5,4,4_middle,PR,MODNR; MN; Tward; NRSA,SP,MODNR; OK; MN; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3,3,1,3,3,3,1,3,2.666666667,6
ACENTRELLA,Genus,,FALSE,,yes,yes,,5,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,"SW,CN",IA; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,ACENTRELLA,,,,,,,,,,4
ACERPENNA,Genus,,FALSE,,,yes,,5,4,4_middle,CG,IA; MN; Tward; NRSA,SW,MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACERPENNA,,,,,,,,,,,
ACERPENNA PYGMAEA,Species,,FALSE,,,yes,,5,4,4_middle,CG,IA; MN; Tward; NRSA,SW,MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACERPENNA,ACERPENNA PYGMAEA,,,,,,,,,,4
ACILIUS,Genus,,FALSE,,,,,NA,NA,NA,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,ACILIUS,ACILIUS,3,5,1,5,2,2,1,5,3,99
ACRONEURIA,Genus,,FALSE,yes,yes,yes,yes,2,3,,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,NE; OK; MN; Tward; NRSA,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,ACRONEURIA,0,1,1,0,2,3,0,3,1.166666667,2
ACRONEURIA ABNORMIS,Species,,FALSE,yes,yes,yes,yes,2,3,,PR,IA; NE; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,ACRONEURIA ABNORMIS,0,1,1,0,2,4,0,4,1.333333333,2
ACRONEURIA EVOLUTA,Species,,FALSE,yes,yes,yes,yes,2,3,,PR,OK; Tward; NRSA,CN,Tward; NRSA,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,ACRONEURIA EVOLUTA,0,1,1,0,1,2,0,2,0.833333333,2
ACRONEURIA PERPLEXA,Species,,FALSE,yes,yes,yes,yes,2,3,,PR,OK; Tward; NRSA,CN,Tward; NRSA,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,ACRONEURIA PERPLEXA,0,1,1,0,2,2,0,2,1,2
AEDES,Genus,,FALSE,,,,,5,4,4_middle,CF,IA; NE; MODNR; MN; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward,,TRUE,ARTHROPODA,INSECTA,DIPTERA,CULICIDAE,AEDES,AEDES,4,4,3,4,4,2,2,4,3.5,10
AESHNA,Genus,,FALSE,,yes,,yes,5,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CB,NE; OK; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,AESHNA,AESHNA,3,4,1,3,3,4,1,4,3,4
AESHNA UMBROSA,Species,,FALSE,,yes,,yes,5,4,4_middle,PR,IA; OK; MN; Tward; NRSA,CB,MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,AESHNA,AESHNA UMBROSA,3,4,1,3,3,4,1,4,3,4
AESHNIDAE,Family,,FALSE,,yes,,,5,4,4_middle,PR,IA; NE; MODNR; OK; MN; ;,"CB,CN",NE; OK; MN,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,,,2,4,1,3,3,4,1,4,2.833333333,
AGABUS,Genus,,FALSE,,,,yes,5,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,IA; NE; MODNR; OK; MN; Tward; NRSA,semi,NRSA,,TRUE,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,AGABUS,AGABUS,2,4,2,3,2,1,1,4,2.333333333,99
AGABUS DISINTEGRATUS,Species,,FALSE,,,,yes,5,4,4_middle,PR,IA; Tward; NRSA,SW,MN; Tward; NRSA,semi,NRSA,,TRUE,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,AGABUS,AGABUS DISINTEGRATUS,2,4,1,3,2,1,1,4,2.166666667,99
AGAPETUS,Genus,,FALSE,yes,yes,yes,,1,2,,SC,MODNR; OK; MN; Tward,"SW,CN",NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,TRICHOPTERA,GLOSSOSOMATIDAE,AGAPETUS,AGAPETUS,1,2,0,2,1,3,0,3,1.5,4
AGNETINA,Genus,,FALSE,yes,yes,yes,yes,2,3,,PR,MODNR; Tward; NRSA,CN,Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,AGNETINA,,0,1,1,0,3,2,0,3,1.166666667,
AGNETINA FLAVESCENS,Species,,FALSE,yes,yes,yes,yes,2,3,,PR,MODNR; Tward; NRSA,CN,Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,AGNETINA,AGNETINA FLAVESCENS,0,1,1,0,3,2,0,3,1.166666667,2
ALLOCAPNIA,Genus,,FALSE,yes,yes,yes,,2,3,,SH,IA; MODNR; OK; MN; Tward; NRSA,"SP,CN",NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,CAPNIIDAE,ALLOCAPNIA,ALLOCAPNIA,1,1,1,0,1,1,0,1,0.833333333,2
ALLOCAPNIA VIVIPARA,Species,,FALSE,yes,yes,yes,,2,3,,SH,MN; Tward; NRSA,"SP,CN",NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,PLECOPTERA,CAPNIIDAE,ALLOCAPNIA,ALLOCAPNIA VIVIPARA,2,1,1,0,1,2,0,2,1.166666667,2
