TaxaID_orig,KS_TAXACODE,Rank_orig,NonTarget,OTU_MMI,OTU_MMI_genus,OTU_BCG,PHYLUM,CLASS,ORDER,FAMILY,GENUS,NumSamp_All,NumSites_All,Yr_Min,Yr_Max,NumSamp_SB,NumSamp_SP
ABLABESMYIA,38,Genus,FALSE,ABLABESMYIA,ABLABESMYIA,ABLABESMYIA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,993,371,1980,2020,727,266
ACENTRELLA,997,Genus,FALSE,ACENTRELLA,ACENTRELLA,ACENTRELLA,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,40,24,2000,2017,33,7
ACERPENNA,,Genus,FALSE,ACERPENNA,ACERPENNA,ACERPENNA,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACERPENNA,,,,,,
ACERPENNA PYGMAEA,814,Species,FALSE,ACERPENNA PYGMAEA,ACERPENNA,ACERPENNA PYGMAEA,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACERPENNA,211,98,1983,2020,141,70
ACILIUS,345,Genus,FALSE,ACILIUS,ACILIUS,ACILIUS,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,ACILIUS,9,9,2008,2017,1,8
ACRONEURIA,145,Genus,FALSE,ACRONEURIA,ACRONEURIA,ACRONEURIA,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,66,34,1980,2019,48,18
ACRONEURIA ABNORMIS,1074,Species,FALSE,ACRONEURIA ABNORMIS,ACRONEURIA,ACRONEURIA ABNORMIS,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,33,15,1980,2015,31,2
ACRONEURIA EVOLUTA,1075,Species,FALSE,ACRONEURIA EVOLUTA,ACRONEURIA,ACRONEURIA EVOLUTA,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,139,38,1984,2014,130,9
ACRONEURIA PERPLEXA,447,Species,FALSE,ACRONEURIA PERPLEXA,ACRONEURIA,ACRONEURIA PERPLEXA,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,2,2,1988,1995,2,
AEDES,294,Genus,FALSE,AEDES,AEDES,AEDES,ARTHROPODA,INSECTA,DIPTERA,CULICIDAE,AEDES,4,4,2006,2016,,4
AESHNA,124,Genus,FALSE,AESHNA,AESHNA,AESHNA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,AESHNA,12,12,1980,2018,7,5
AESHNA UMBROSA,400,Species,FALSE,AESHNA UMBROSA,AESHNA,AESHNA UMBROSA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,AESHNA,32,31,1980,2018,15,17
AESHNIDAE,248,Family,FALSE,AESHNIDAE,AESHNIDAE,AESHNIDAE,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,,29,27,1981,2018,10,19
AGABUS,2,Genus,FALSE,AGABUS,AGABUS,AGABUS,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,AGABUS,228,131,1980,2019,163,65
AGABUS DISINTEGRATUS,825,Species,FALSE,AGABUS DISINTEGRATUS,AGABUS,AGABUS DISINTEGRATUS,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,AGABUS,5,4,1982,2013,3,2
AGAPETUS,112,Genus,FALSE,AGAPETUS,AGAPETUS,AGAPETUS,ARTHROPODA,INSECTA,TRICHOPTERA,GLOSSOSOMATIDAE,AGAPETUS,1,1,1995,1995,1,
AGNETINA,,Genus,FALSE,AGNETINA,AGNETINA,AGNETINA,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,AGNETINA,,,,,,
AGNETINA FLAVESCENS,1799,Species,FALSE,AGNETINA FLAVESCENS,AGNETINA,AGNETINA FLAVESCENS,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,AGNETINA,18,9,1990,2018,13,5
ALLOCAPNIA,290,Genus,FALSE,ALLOCAPNIA,ALLOCAPNIA,ALLOCAPNIA,ARTHROPODA,INSECTA,PLECOPTERA,CAPNIIDAE,ALLOCAPNIA,9,9,1986,2012,9,
ALLOCAPNIA VIVIPARA,409,Species,FALSE,ALLOCAPNIA VIVIPARA,ALLOCAPNIA,ALLOCAPNIA VIVIPARA,ARTHROPODA,INSECTA,PLECOPTERA,CAPNIIDAE,ALLOCAPNIA,4,4,1980,1992,4,
ALOTANYPUS,319,Genus,FALSE,ALOTANYPUS,ALOTANYPUS,ALOTANYPUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ALOTANYPUS,4,1,2006,2010,,4
AMERCAENIS,,Genus,FALSE,AMERCAENIS,AMERCAENIS,AMERCAENIS,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,AMERCAENIS,,,,,,
AMERCAENIS RIDENS,9,Species,FALSE,AMERCAENIS RIDENS,AMERCAENIS,AMERCAENIS RIDENS,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,AMERCAENIS,99,29,2005,2019,91,8
AMERCAENIS/CAENIS,,Genus,FALSE,AMERCAENIS/CAENIS,AMERCAENIS/CAENIS,AMERCAENIS/CAENIS,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,AMERCAENIS/CAENIS,908,166,1980,2004,,
AMNICOLA,,Genus,FALSE,AMNICOLA,AMNICOLA,AMNICOLA,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,AMNICOLA,,,,,,
