LstOrdrRef,LstOrdrAccess,Station,SampID,RepNum,CollDate,ICI,ReferenceCondition,SampType,BFIWs,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,P2O5Ws,SWs,SiO2Ws,NWs,HydrlCondWs,CompStrgthWs,KffactWs,PctOw2016Ws,PctIce2016Ws,PrecipWs,TmaxWs,TmeanWs,TminWs,MSST_4yrAvg,RckDepWs,PredCond_uScm,CatchmentArea.1,Elevation.1,Max.Depth..ft.,ReachwideSlopeftft,D50.Reachmm,Nat_MMI_Region,Nat_MMI_ecoclasses,SiteClassGen1,SiteClassGen2,SiteClass,InRefOrdination,CALVAL,Nat_MMI,BC_4.r.res.WST,HIGH_N.pa.res.WST,ACHNANTHIDIAE.pa.res.WST,STALKED.pt.WST,WEAKLY_MOTILE.r.WST,SALINITY_3.pt.WST,BC_1.pa.res.ELO,LOW_P.r.res.ELO,HIGHLY_MOTILE.pa.res.ELO,SALINITY_3.pt.res.ELO,CENTRIC.pt.ELO,nt_total,nt_Ben_Ses_1,nt_Ben_Ses_2,nt_Diat_Ca_1,nt_Diat_Ca_2,nt_Diat_Cond_1,nt_Diat_Cond_2,nt_Diat_Cl_1,nt_Diat_Cl_2,jnt_Diat_Cl_2,nt_Diatas_TN_1,nt_Diatas_TN_2,jnt_Diatas_TN_2,nt_Diatas_TP_1,nt_Diatas_TP_2,ni_total,pi_Ben_Ses_1,pi_Ben_Ses_2,pi_Diat_CA_1,pi_Diat_CA_2,pi_Diat_CL_1,pi_Diat_CL_2,pi_Diat_Cond_1,pi_Diat_Cond_2,jpi_Diat_Cond_2,pi_Diatas_TP_1,pi_Diatas_TP_2,pi_Diatas_TN_1,pi_Diatas_TN_2,pt_Ben_Ses_1,pt_Ben_Ses_2,pt_Diat_CA_1,pt_Diat_CA_2,pt_Diat_CL_1,pt_Diat_CL_2,jpt_Diat_CL_2,pt_Diat_Cond_1,pt_Diat_Cond_2,pt_Diatas_TP_1,jpt_Diatas_TP_1,pt_Diatas_TP_2,pt_Diatas_TN_1,jpt_Diatas_TN_1,pt_Diatas_TN_2,wa_H_WDEQ,wa_M_WDEQ,wa_N_WDEQ,jwa_N_WDEQ,wa_O_WDEQ,wa_pH_WDEQ,wa_T_WDEQ,wa_S_WDEQ,wa_PTI_WDEQ,pi_TubeDwellers,jpi_TubeDwellers,pi_Pioneer,pi_NFixers,pi_Cyclotella,pt_Cymbella,pi_Surirella,pi_Melosira,pt_Planktonic,pt_HiProfile,wa_OptCat_DisTotMMI,wa_OptCat_L1DisTot,wa_OptCat_L1Ptl,wa_OptCat_LCond,wa_OptCat_LNtl,wa_OptCat_PctFN,wa_OptCat_pH,wa_OptCat_XEMBED,wa_OptCat_NutMMI,pi_H_WDEQ_1,pi_H_WDEQ_2,pi_H_WDEQ_3,pi_H_WDEQ_4,pi_H_WDEQ_12,pi_H_WDEQ_34,nt_H_WDEQ_1,nt_H_WDEQ_2,nt_H_WDEQ_3,nt_H_WDEQ_4,nt_H_WDEQ_34,pt_H_WDEQ_1,pt_H_WDEQ_2,pt_H_WDEQ_3,pt_H_WDEQ_4,pt_H_WDEQ_34,jpt_H_WDEQ_34,pi_M_WDEQ_1,pi_M_WDEQ_2,pi_M_WDEQ_12,pi_M_WDEQ_3,pi_M_WDEQ_4,pi_M_WDEQ_5,nt_M_WDEQ_1,nt_M_WDEQ_2,nt_M_WDEQ_12,jnt_M_WDEQ_12,nt_M_WDEQ_3,nt_M_WDEQ_4,nt_M_WDEQ_5,pt_M_WDEQ_1,pt_M_WDEQ_2,pt_M_WDEQ_3,pt_M_WDEQ_4,pt_M_WDEQ_5,pi_N_WDEQ_1,pi_N_WDEQ_2,pi_N_WDEQ_3,pi_N_WDEQ_4,pi_N_WDEQ_12,pi_N_WDEQ_34,jpi_N_WDEQ_34,nt_N_WDEQ_1,nt_N_WDEQ_2,nt_N_WDEQ_3,nt_N_WDEQ_4,nt_N_WDEQ_34,pt_N_WDEQ_1,pt_N_WDEQ_2,pt_N_WDEQ_3,pt_N_WDEQ_4,pt_N_WDEQ_12,pt_N_WDEQ_34,jpt_N_WDEQ_34,pi_O_WDEQ_1,pi_O_WDEQ_2,pi_O_WDEQ_12,pi_O_WDEQ_3,pi_O_WDEQ_4,pi_O_WDEQ_34,nt_O_WDEQ_1,nt_O_WDEQ_2,nt_O_WDEQ_3,nt_O_WDEQ_4,nt_O_WDEQ_34,pt_O_WDEQ_1,pt_O_WDEQ_2,pt_O_WDEQ_12,jpt_O_WDEQ_12,pt_O_WDEQ_3,pt_O_WDEQ_4,jpt_O_WDEQ_4,pt_O_WDEQ_34,jpt_O_WDEQ_34,pi_pH_WDEQ_1,pi_pH_WDEQ_2,pi_pH_WDEQ_3,pi_pH_WDEQ_4,pi_pH_WDEQ_5,pi_pH_WDEQ_6,nt_pH_WDEQ_1,nt_pH_WDEQ_2,nt_pH_WDEQ_3,nt_pH_WDEQ_4,nt_pH_WDEQ_5,nt_pH_WDEQ_6,pt_pH_WDEQ_1,pt_pH_WDEQ_2,pt_pH_WDEQ_3,pt_pH_WDEQ_4,pt_pH_WDEQ_5,pt_pH_WDEQ_6,pi_S_WDEQ_1,pi_S_WDEQ_2,pi_S_WDEQ_12,pi_S_WDEQ_3,pi_S_WDEQ_4,pi_S_WDEQ_5,pi_S_WDEQ_345,nt_S_WDEQ_1,jnt_S_WDEQ_1,nt_S_WDEQ_2,nt_S_WDEQ_3,nt_S_WDEQ_4,nt_S_WDEQ_5,pt_S_WDEQ_1,pt_S_WDEQ_2,pt_S_WDEQ_3,pt_S_WDEQ_4,pt_S_WDEQ_5,pt_S_WDEQ_345,jpt_S_WDEQ_345,pi_T_WDEQ_1,pi_T_WDEQ_2,pi_T_WDEQ_3,pi_T_WDEQ_123,jpi_T_WDEQ_123,pi_T_WDEQ_4,pi_T_WDEQ_5,pi_T_WDEQ_6,pi_T_WDEQ_7,nt_T_WDEQ_1,nt_T_WDEQ_2,nt_T_WDEQ_12,jnt_T_WDEQ_12,nt_T_WDEQ_3,nt_T_WDEQ_123,nt_T_WDEQ_4,nt_T_WDEQ_5,nt_T_WDEQ_6,nt_T_WDEQ_7,pt_T_WDEQ_1,pt_T_WDEQ_2,pt_T_WDEQ_12,jpt_T_WDEQ_12,pt_T_WDEQ_3,pt_T_WDEQ_123,pt_T_WDEQ_4,pt_T_WDEQ_5,pt_T_WDEQ_6,pt_T_WDEQ_56,jpt_T_WDEQ_56,pt_T_WDEQ_7,WA_Motility_USGS,WA_Size_USGS,WA_Trophic_USGS,WA_BC_USGS,jWA_BC_USGS,WA_SAP_USGS,jWA_SAP_USGS,WA_Bahls_USGS,WA_PT_USGS,WA_Salinity_USGS,jWA_Salinity_USGS,BC_1.r,BC_2.r,BC_3.r,BC_12.r,jBC_12.r,BC_123.r,BC_4.r,BC_5.r,BC_45.r,TROPHIC_1.r,TROPHIC_2.r,TROPHIC_3.r,TROPHIC_4.r,TROPHIC_5.r,TROPHIC_6.r,TROPHIC_7.r,SAP_1.r,SAP_2.r,SAP_3.r,SAP_4.r,SAP_5.r,PT_1.r,PT_2.r,PT_3.r,PT_4.r,PT_5.r,O_1.r,jO_1.r,O_2.r,O_3.r,O_4.r,O_5.r,SALINITY_1.r,jSALINITY_1.r,SALINITY_2.r,SALINITY_3.r,SALINITY_4.r,Bahls_1.r,Bahls_2.r,Bahls_3.r,jBahls_3.r,LOW_P.r,jLOW_P.r,HIGH_P.r,LOW_N.r,jLOW_N.r,HIGH_N.r,BENTHIC_HABIT.r,SESTONIC_HABIT.r,N_FIXER.r,NON_N_FIXER.r,NON_MOTILE.r,WEAKLY_MOTILE.r,SLIGHTLY_MOTILE.r,MODERATELY_MOTILE.r,HIGHLY_MOTILE.r,VERY_SMALL.r,SMALL.r,MEDIUM.r,BIG.r,VERY_BIG.r,ACHNANTHIDIUM.r,ACHNANTHIDIAE.r,BACILLARIACEAE.r,NAVICULA.r,STALKED.r,ADNATE.r,HIGHLY_MOTILE.1.r,ARAPHID.r,CENTRIC.r,taxacount,BC_1.pt,BC_2.pt,BC_3.pt,BC_4.pt,BC_5.pt,jBC_5.pt,BC_45.pt,jBC_45.pt,TROPHIC_1.pt,TROPHIC_2.pt,TROPHIC_3.pt,TROPHIC_4.pt,TROPHIC_5.pt,TROPHIC_6.pt,TROPHIC_56.pt,jTROPHIC_56.pt,TROPHIC_7.pt,SAP_1.pt,SAP_2.pt,SAP_3.pt,SAP_4.pt,SAP_5.pt,SAP_45.pt,jSAP_45.pt,PT_1.pt,PT_2.pt,PT_12.pt,jPT_12.pt,PT_3.pt,PT_4.pt,PT_5.pt,O_1.pt,jO_1.pt,O_2.pt,O_3.pt,O_4.pt,O_5.pt,O_45.pt,jO_45.pt,SALINITY_1.pt,SALINITY_2.pt,SALINITY_3.pt,SALINITY_4.pt,SALINITY_34.pt,Bahls_1.pt,Bahls_2.pt,Bahls_12.pt,jBahls_12.pt,Bahls_3.pt,LOW_P.pt,jLOW_P.pt,HIGH_P.pt,jHIGH_P.pt,LOW_N.pt,HIGH_N.pt,jHIGH_N.pt,BENTHIC_HABIT.pt,SESTONIC_HABIT.pt,N_FIXER.pt,NON_N_FIXER.pt,NON_MOTILE.pt,WEAKLY_MOTILE.pt,SLIGHTLY_MOTILE.pt,MODERATELY_MOTILE.pt,HIGHLY_MOTILE.pt,VERY_SMALL.pt,SMALL.pt,MEDIUM.pt,BIG.pt,VERY_BIG.pt,ACHNANTHIDIUM.pt,ACHNANTHIDIAE.pt,BACILLARIACEAE.pt,NAVICULA.pt,STALKED.pt,ADNATE.pt,HIGHLY_MOTILE.1.pt,ARAPHID.pt,CENTRIC.pt,BC_1.pa,BC_2.pa,BC_12.pa,jBC_12.pa,BC_3.pa,BC_4.pa,BC_5.pa,jBC_5.pa,TROPHIC_1.pa,TROPHIC_2.pa,TROPHIC_3.pa,TROPHIC_123.pa,jTROPHIC_123.pa,TROPHIC_4.pa,TROPHIC_5.pa,TROPHIC_6.pa,TROPHIC_7.pa,SAP_1.pa,SAP_2.pa,SAP_3.pa,SAP_4.pa,SAP_5.pa,SAP_45.pa,PT_1.pa,PT_2.pa,PT_3.pa,PT_4.pa,PT_5.pa,O_1.pa,O_2.pa,O_3.pa,O_4.pa,jO_4.pa,O_5.pa,SALINITY_1.pa,SALINITY_2.pa,SALINITY_3.pa,SALINITY_4.pa,Bahls_1.pa,Bahls_2.pa,Bahls_3.pa,LOW_P.pa,HIGH_P.pa,LOW_N.pa,HIGH_N.pa,BENTHIC_HABIT.pa,SESTONIC_HABIT.pa,N_FIXER.pa,NON_N_FIXER.pa,NON_MOTILE.pa,WEAKLY_MOTILE.pa,SLIGHTLY_MOTILE.pa,MODERATELY_MOTILE.pa,HIGHLY_MOTILE.pa,VERY_SMALL.pa,SMALL.pa,MEDIUM.pa,BIG.pa,VERY_BIG.pa,ACHNANTHIDIUM.pa,ACHNANTHIDIAE.pa,BACILLARIACEAE.pa,NAVICULA.pa,STALKED.pa,ADNATE.pa,HIGHLY_MOTILE.1.pa,ARAPHID.pa,CENTRIC.pa,BC_45.pt_RFadj,pt_Diat_Cond_2_RFadj,pt_H_WDEQ_34_RFadj,nt_M_WDEQ_12_RFadj,nt_Diatas_TN_2_RFadj,pt_Diatas_TN_1_RFadj,LOW_P.r_RFadj,Bahls_12.pt_RFadj,pt_T_WDEQ_12_RFadj,pt_T_WDEQ_56_RFadj,WA_Salinity_USGS_std,pt_O_WDEQ_4_std,O_45.pt_std,WA_SAP_USGS_std,BC_45.pt_RFadj_std,pt_H_WDEQ_34_RFadj_std,pt_Diatas_TN_1_RFadj_std,Bahls_12.pt_RFadj_std,pt_T_WDEQ_56_RFadj_std,BC_12.pa_std,pi_TubeDwellers_std,nt_Diat_Cl_2_std,pt_Diat_Cond_2_RFadj_std,nt_M_WDEQ_12_RFadj_std,nt_Diatas_TN_2_RFadj_std,LOW_P.r_RFadj_std,pt_T_WDEQ_12_RFadj_std,MMIseven1,MMIseven2,MMIseven3,MMIseven4,MMIseven5,MMIseven6,MMIseven7,MMIseven8,MMIseven9
1,167,SR0054,153,0,24-Jul-07,0.943,Reference,Primary,49.8,11.4,4,3.7,2.8,1.8,2.2,0.13,0.05,65.4,0.02,0.04,131.5,0.23,0,0,574,9.5,2.8,-14.5,15.6,59.3,265,25,25,1.8,0.0249,37.6,WST,SR,14_LoTmpNot17Large,14_2,MidMtns,153,CAL,44,10,10,0.1,2.2,2.5,1.5,,,,,,35,33,0,3,0,0,1,0,19,-3.4,4,6,-0.78,6,2,637,96.86028257,0,5.808477237,0,0,73.7833595,0,0.156985871,-3.043014129,7.849293564,3.610675039,6.750392465,64.05023548,94.28571429,0,8.571428571,0,0,2.857142857,-1.242857143,0,54.28571429,11.42857143,-5.671428571,17.14285714,17.14285714,6.042857143,5.714285714,2.111459969,1.91943128,1.479099678,-0.500900322,2.131832797,4.595576619,5.007874016,2.236966825,1.39208,0.156985871,-3.843014129,0.784929356,62.32339089,0,0,0,0,0,8.571428571,-3.536866935,0.777391039,3.230412273,5.586132011,5.278952909,1.928286314,8.147118069,57.40162743,-2.737123216,0.156985871,88.5400314,11.30298273,0,88.69701727,11.30298273,1,27,7,0,7,2.9,77.1,20,0,20,5,16.48351648,74.56828885,91.05180534,8.163265306,0.156985871,0,9,13,22,6,11,1,0,25.7,37.1,31.4,2.9,0,65.14913658,22.91993721,4.866562009,4.709576138,88.06907378,9.576138148,0.976138148,7,15,5,4,9,20,42.85714286,14.28571429,11.42857143,62.85714286,25.71428571,13.71428571,11.4599686,71.27158556,82.73155416,8.006279435,4.395604396,12.40188383,7,8,11,4,15,20,22.85714286,42.85714286,-3.542857143,31.42857143,11.42857143,5.128571429,42.85714286,10.65714286,0,0,4.866562009,30.45525903,64.05023548,0,0,0,6,24,4,0,0,0,17.1,68.6,11.4,0,1.412872841,84.92935636,86.3422292,3.767660911,6.593406593,2.668759812,13.02982732,3,0.32,18,8,4,1,8.6,51.4,22.9,11.4,2.9,37.14285714,7.742857143,0.156985871,0.470957614,0,0.627943485,-6.872056515,13.34379906,76.29513344,2.668759812,6.750392465,1,1,2,-0.65,0,2,6,17,1,8,2.9,2.9,5.7,0.504285714,0,5.714285714,17.1,48.6,2.9,51.4,7.828571429,22.9,3.508634223,2.555729984,4.879120879,2.485086342,-0.384913658,2.006279435,0.326279435,2.216640502,0.450549451,2.050235479,0.290235479,3,7,10,10,-3,20,8,7,15,1,1,0,5,16,1,7,3,15,8,3,1,3,3,1,6,1,9,1.65,5,8,2,1,2,-0.5,28,5,0,4,10,9,-3.7,4,-1.6,11,9,-1.3,12,34,1,3,32,8,1,5,11,10,9,14,8,1,0,1,1,10,3,4,3,17,7,1,35,0.085714286,0.2,0.285714286,0.228571429,0.2,0.056,0.428571429,-0.014428571,0.028571429,0.028571429,0,0.142857143,0.457142857,0.028571429,0.485714286,0.118714286,0.2,0.085714286,0.428571429,0.228571429,0.085714286,0.028571429,0.114285714,0.004285714,0.085714286,0.085714286,0.171428571,0.043428571,0.028571429,0.171428571,0.028571429,0.257142857,0.031142857,0.142857143,0.228571429,0.057142857,0.028571429,0.085714286,0.041714286,0.057142857,0.8,0.142857143,0,0.142857143,0.114285714,0.285714286,0.4,0.213,0.257142857,0.114285714,-0.012714286,0.314285714,0.081285714,0.257142857,0.342857143,0.003857143,0.971428571,0.028571429,0.085714286,0.914285714,0.228571429,0.028571429,0.142857143,0.314285714,0.285714286,0.257142857,0.4,0.228571429,0.028571429,0,0.028571429,0.028571429,0.285714286,0.085714286,0.114285714,0.085714286,0.485714286,0.2,0.028571429,0.056514914,0.613814757,0.67032967,0.31832967,0.183673469,0.072213501,0.072213501,0.002213501,0.001569859,0.004709576,0,0.006279435,-0.261720565,0.124018838,0.7566719,0.026687598,0.06122449,0.014128728,0.794348509,0.037676609,0.039246468,0.026687598,0.065934066,0.040816327,0.014128728,0.003139717,0.091051805,0.001569859,0.125588697,0.665620094,0.045525903,0.014128728,-0.007871272,0.025117739,0.018838305,0.897959184,0.078492936,0,0.042386185,0.086342229,0.667189953,0.080062794,0.12244898,0.673469388,0.167974882,0.974882261,0.025117739,0.623233909,0.376766091,0.15855573,0.006279435,0.075353218,0.687598116,0.072213501,0.124018838,0.177394035,0.654631083,0.028257457,0,0.007849294,0.007849294,0.072213501,0.025117739,0.056514914,0.04866562,0.726844584,0.133437991,0.025117739,0.017425498,0.86553288,2.720364365,0.949766667,-0.3116,2.898609346,-1.0992,0.064278278,0.109641607,5.407792083,13.79419525,27.33408322,39.15094329,41.50002532,65.5775007,63.84972478,58.4603186,38.19063332,46.62035231,100,0.856286569,45,68.03929689,56.39296563,56.88475523,47.42857205,61.6868153,59.42647268,44.74450783,51.20652058,58.52751661,51.92189384,52.88141802,61.11459555,45.096193,53.14721317
2,177,WB0287,161,0,11-Sep-07,0.965,Reference,Primary,50.6,13,8.2,4,2.9,3,2.5,0.13,0.15,57.3,0.02,0.04,148.1,0.28,0.1,0.1,522,11,4.6,-12.3,17.1,88.2,405,23.2,23,1.1,0.0083,14.2,WST,WB,14_LoTmpNot17Large,14_2,MidMtns,161,CAL,33,6.9,0,2.7,3.5,2.5,4.1,,,,,,40,40,0,9,1,1,1,0,18,0.7,8,3,-1.87,7,3,696,100,0,27.44252874,1.149425287,0,68.82183908,0.143678161,1.149425287,-2.050574713,23.41954023,1.58045977,23.27586207,3.879310345,100,0,22.5,2.5,2.5,2.5,-1.6,0,45,20,-1,7.5,17.5,1.3,7.5,2.038235294,2.06993007,1.99522673,-0.20477327,2.452380952,3.975501114,5.724770642,2.165158371,1.008665331,0,-4,0.287356322,2.442528736,0,0,0.287356322,1.58045977,0,10,-4.887052114,0.798818613,3.131386192,5.433659757,5.192309425,1.752423743,8.034108789,51.92310272,-5.013340439,0.287356322,93.67816092,3.448275862,0.287356322,93.96551724,3.735632184,1,28,8,1,9,2.5,70,20,2.5,22.5,7.5,4.454022989,48.70689655,53.16091954,8.189655172,0.287356322,0,9,8,17,1,17,1,0,22.5,20,42.5,2.5,0,3.591954023,54.16666667,1.58045977,0.862068966,57.75862069,2.442528736,-6.157471264,3,24,1,3,4,7.5,60,2.5,7.5,67.5,10,-2,2.586206897,28.87931034,31.46551724,27.87356322,1.005747126,28.87931034,5,14,9,4,13,12.5,35,47.5,1.1,22.5,10,3.7,32.5,0.3,0,0.287356322,3.879310345,57.47126437,2.873563218,0,0,1,5,27,3,0,0,2.5,12.5,67.5,7.5,0,0,53.59195402,53.59195402,9.626436782,0,0.287356322,9.913793103,0,-2.68,23,11,0,1,0,57.5,27.5,0,2.5,30,0.6,0,0,0.862068966,0.862068966,-6.637931034,2.873563218,53.73563218,0.287356322,36.20689655,0,0,0,-2.65,1,1,6,22,1,5,0,0,0,-5.21,2.5,2.5,15,55,2.5,57.5,13.9,12.5,3.275862069,2.29454023,3.073275862,2.909482759,-0.420517241,1.367816092,-0.752183908,1.05316092,1.968390805,1.301724138,-0.458275862,4,3,13,7,-2.2,20,16,4,20,0,0,1,6,19,1,4,0,20,10,0,1,1,3,2,8,4,7,-0.35,10,8,2,0,1,-1.5,27,4,1,1,12,13,0.3,3,-2.6,11,5,-2.1,15,39,1,1,39,4,1,9,17,9,8,13,11,5,0,1,3,7,9,6,4,22,3,1,40,0.1,0.075,0.325,0.4,0.1,-0.044,0.5,0.057,0,0,0.025,0.15,0.475,0.025,0.5,0.133,0.1,0,0.5,0.25,0,0.025,0.025,-0.085,0.025,0.075,0.1,-0.028,0.05,0.2,0.1,0.175,0.003,0.25,0.2,0.05,0,0.05,0.006,0.025,0.675,0.1,0.025,0.125,0.025,0.3,0.325,0.138,0.325,0.075,-0.052,0.275,0.042,0.125,0.375,0.036,0.975,0.025,0.025,0.975,0.1,0.025,0.225,0.425,0.225,0.2,0.325,0.275,0.125,0,0.025,0.075,0.175,0.225,0.15,0.1,0.55,0.075,0.025,0.018678161,0.356321839,0.375,0.19,0.281609195,0.304597701,0.022988506,-0.047011494,0,0,0.00862069,0.00862069,-0.05937931,0.028735632,0.538793103,0.002873563,0.031609195,0,0.534482759,0.094827586,0,0.002873563,0.002873563,0.002873563,0.020114943,0.00862069,0.449712644,0.020114943,0.038793103,0.270114943,0.277298851,0.004310345,-0.071689655,0,0.002873563,0.604885057,0.025862069,0.002873563,0.002873563,0.087643678,0.291666667,0.017241379,0.781609195,0.048850575,0.810344828,0.984195402,0.015804598,0.024425287,0.975574713,0.030172414,0.212643678,0.245689655,0.474137931,0.037356322,0.037356322,0.613505747,0.30316092,0.030172414,0,0.002873563,0.007183908,0.033045977,0.077586207,0.564655172,0.227011494,0.156609195,0.014367816,0.015804598,0.023093373,0.657150751,1.141421591,0.165333333,-0.661133333,1.60389433,-1.0716,0.01404037,-2.525234845,4.90842128,82.43097024,36.41732283,64.50471704,82.9415921,63.65025406,71.49449908,66.06446461,61.26099114,48.46841006,57.76532027,0,40,67.16500079,51.44614788,51.35303416,47.82149595,38.87927745,54.90506368,59.75988678,58.96506335,59.34383574,56.17205568,55.25840487,58.91754856,60.26199346,55.89489923
3,181,SRI14,165,0,25-Sep-07,0.967,Reference,Primary,54.2,13.7,7,4.2,2.2,3,2.6,0.17,0.04,58.8,0.02,0.12,154.2,0.25,1.46,1.46,708,8.8,1.8,-14.6,17.7,119.1,177,75.8,76,3,0.0038,46.6,WST,SR,14_LoTmpNot17Large,14_2,MidMtns,165,CAL,34,4.6,3.9,1.2,1.8,5,3.9,,,,,,58,53,3,8,0,2,4,1,31,8.6,10,7,0.22,7,7,610,96.2295082,1.475409836,21.31147541,0,0.163934426,64.42622951,0.327868852,1.31147541,-1.88852459,6.393442623,11.63934426,15.40983607,13.44262295,91.37931034,5.172413793,13.79310345,0,3.448275862,6.896551724,2.796551724,1.724137931,53.44827586,17.24137931,0.14137931,12.06896552,12.06896552,0.968965517,12.06896552,2.052631579,2.118673647,2.045627376,0.065627376,2.098113208,3.805792164,5.302479339,2.316780822,1.096263473,0.819672131,-3.180327869,10,1.967213115,0.327868852,1.724137931,0,0,3.448275862,8.620689655,-1.473718484,0.907981218,3.218413507,5.353983656,5.402935948,2.017395622,8.018760894,57.99575677,-1.171804843,1.475409836,91.47540984,6.721311475,0,92.95081967,6.721311475,6,40,10,0,10,10.3,69,17.2,0,17.24137931,2.24137931,25.24590164,32.78688525,58.03278689,35.40983607,0.491803279,0,13,11,24,8,25,2,0,22.4,19,43.1,3.4,0,9.836065574,66.8852459,5.245901639,4.262295082,76.72131148,9.508196721,0.908196721,11,24,6,4,10,18.96551724,41.37931034,10.34482759,6.896551724,60.34482759,17.24137931,5.24137931,39.18032787,7.213114754,46.39344262,33.44262295,6.885245902,40.32786885,16,10,15,6,21,27.5862069,17.24137931,44.82758621,-1.572413793,25.86206897,10.34482759,4.044827586,36.20689655,4.006896552,0,0.327868852,20.16393443,73.60655738,2.131147541,0,0,2,15,33,3,0,0,3.4,25.9,56.9,5.2,0,1.803278689,72.78688525,74.59016393,12.78688525,5.737704918,2.62295082,21.14754098,6,3.32,23,15,7,1,10.3,39.7,25.9,12.1,1.7,39.65517241,10.25517241,1.147540984,1.803278689,0.655737705,3.606557377,-3.893442623,24.26229508,37.21311475,2.62295082,31.47540984,4,6,10,5.18,1,11,9,22,1,11,6.9,10.3,17.2,8.30137931,1.7,18.96551724,15.5,37.9,1.7,39.7,-3.944827586,19,2.552459016,1.63442623,4.675409836,3.152459016,0.282459016,2.055737705,0.375737705,1.057377049,1.606557377,1.93442623,0.17442623,6,13,16,19,6,35,14,8,22,3,5,1,8,19,1,9,5,17,15,6,1,4,5,3,6,3,15,7.65,7,11,4,1,7,4.5,40,6,0,5,12,19,6.3,8,0.3,14,11,0.7,21,55,3,2,56,11,3,11,22,11,15,26,11,1,0,1,4,11,7,6,5,29,8,3,58,0.103448276,0.224137931,0.275862069,0.24137931,0.137931034,0.038931034,0.379310345,0.008310345,0.051724138,0.086206897,0.017241379,0.137931034,0.327586207,0.017241379,0.344827586,-0.022172414,0.155172414,0.086206897,0.293103448,0.25862069,0.103448276,0.017241379,0.120689655,0.042689655,0.068965517,0.086206897,0.155172414,0.027172414,0.051724138,0.103448276,0.051724138,0.25862069,0.08662069,0.120689655,0.189655172,0.068965517,0.017241379,0.086206897,0.042206897,0.120689655,0.689655172,0.103448276,0,0.103448276,0.086206897,0.206896552,0.293103448,0.106103448,0.327586207,0.137931034,-0.054068966,0.24137931,0.06937931,0.189655172,0.362068966,0.023068966,0.948275862,0.051724138,0.034482759,0.965517241,0.189655172,0.051724138,0.189655172,0.379310345,0.189655172,0.25862069,0.448275862,0.189655172,0.017241379,0,0.017241379,0.068965517,0.189655172,0.120689655,0.103448276,0.086206897,0.5,0.137931034,0.051724138,0.019672131,0.129508197,0.149180328,-0.202819672,0.58852459,0.186885246,0.072131148,0.002131148,0.008196721,0.016393443,0.006557377,0.031147541,-0.036852459,0.18852459,0.345901639,0.026229508,0.281967213,0.014754098,0.662295082,0.129508197,0.049180328,0.026229508,0.075409836,0.062295082,0.062295082,0.014754098,0.329508197,0.01147541,0.339344262,0.06557377,0.308196721,0.039344262,0.017344262,0.001639344,0.016393443,0.914754098,0.029508197,0,0.06557377,0.168852459,0.218032787,0.124590164,0.3,0.245901639,0.437704918,0.993442623,0.006557377,0.019672131,0.980327869,0.327868852,0.2,0.160655738,0.214754098,0.096721311,0.413114754,0.493442623,0.073770492,0.003278689,0,0.1,0.119672131,0.095081967,0.113114754,0.059016393,0.313114754,0.257377049,0.321311475,0.006557377,0.004256315,0.499591422,3.161373152,2.9487,0.297533333,0.817873392,0.262266667,0.02569454,2.70411208,2.296793719,24.41363805,34.22481669,38.80123595,38.28977336,70.05541575,61.71449056,70.68093844,55.90913902,58.13344958,19.77847031,4.470938897,100,66.5039388,68.99870086,66.52491076,66.81091954,84.14459828,55.5429092,50.55256534,55.74339491,52.48384697,59.01249357,49.84776775,56.19668338,50.04521149,47.86950184
